Title,Tag
United_States,Geography
United_Kingdom,Geography
Europe,Geography
North_America,Geography
Continent,Geography
California,Geography
England,Geography
Japan,Geography
U.S._state,Geography
New_York_City,Geography
France,Geography
Canada,Geography
Asia,Geography
Germany,Geography
Italy,Geography
Internet,Technology
India,Geography
United_States_of_America,Geography
Music_of_the_United_States,Culture
Cinema_of_the_United_States,Culture
Christianity,Religion
Earth,Geography
President_of_the_United_States,History
China,Geography
Africa,Geography
Science,Science
English_language,Culture
Russia,Geography
World_War_II,History
Microsoft,Technology
Science_and_technology_in_the_United_States,Technology
Australia,Geography
Human,Science
London,Geography
New_York,Geography
Biology,Science
Greece,Geography
Television_in_the_United_States,Culture
United_Nations,History
Computer,Technology
Contiguous_United_States,Geography
European_Union,Geography
Rock_music,Culture
Chemistry,Science
Greek_language,Culture
Physics,Science
Mathematics,Science
Washington_D.C.,Geography
Los_Angeles,Geography
South_America,Geography
Americas,Geography
Spain,Geography
Jesus,Religion
Pacific_Ocean,Geography
Mexico,Geography
Animal,Science
Atlantic_Ocean,Geography
Continental_Europe,Geography
Apple_Inc.,Technology
Texas,Geography
United_States_Navy,Social
French_language,Culture
Medicine,Technology
East_Asia,Geography
Personal_computer,Social
NATO,Social
Catholic_Church,Religion
Materials_science,Science
Country_code_top_level_domain,Technology
Ancient_Greece,Geography
Israel,Geography
Scotland,Geography
Soviet_Union,History
Music,Culture
New_Jersey,Geography
Barack_Obama,History
Western_Europe,Geography
Rock_and_roll,Culture
Sweden,Geography
German_language,Culture
Federal_government_of_the_United_States,Social
Film,Culture
Switzerland,Geography
Culture_of_the_United_States,Culture
Albert_Einstein,Science
Health_care_in_the_United_States,Social
South_Asia,Geography
People's_Republic_of_China,Geography
Mammal,Science
Television,Culture
Russian_language,Culture
Sports_in_the_United_States,Culture
Islam,Religion
Pennsylvania,Geography
Netherlands,Geography
Great_Britain,Geography
Florida,Geography
Massachusetts,Geography
Kingdom_of_Great_Britain,Geography
Egypt,Geography
World_War_I,History
Microsoft_Windows,Technology
Kingdom_of_England,History
Chicago,Geography
Cuisine_of_the_United_States,Culture
Video_game,Technology
Michigan,Geography
Washington_(state),Geography
South_Africa,Geography
Roman_Empire,History
Republic_of_Ireland,Geography
Marvel_Comics,Culture
Turkey,Geography
United_States_Army,Social
Brazil,Geography
Nazi_Germany,History
World_Wide_Web,Technology
American_comic_book,Culture
Ancient_Greek,History
Eurasia,Geography
Austria,Geography
Natural_science,Science
Computer_science,Technology
Chemical_element,Science
Illinois,Geography
United_States_Armed_Forces,Social
Canada–United_States_border,Geography
Central_Europe,Geography
Empire_of_Japan,History
John_F._Kennedy,History
Rome,Geography
Association_football,Culture
South_Korea,Geography
Louisiana,Geography
American_football,Culture
Japanese_language,Culture
Philippines,Geography
Religion,Religion
Computer_network,Technology
Hip_hop_music,Culture
Economy_of_the_United_States,Social
Latin,Culture
Tokyo,Geography
The_Beatles,Culture
DC_Comics,Culture
African_American,Social
NBC,Culture
American_literature,Culture
Nevada,Geography
Organism,Science
Spanish_language,Culture
Paris,Geography
Philosophy,Science
United_Kingdom–United_States_relations,Social
Psychology,Science
World_Health_Organization,Social
Los_Angeles_California,Geography
Heavy_metal_music,Culture
Language,Culture
Solar_System,Science
San_Francisco,Geography
Disease,Science
United_Kingdom_of_Great_Britain_and_Ireland,Geography
Americans,Social
United_States_Constitution,Social
Belgium,Geography
Ireland,Geography
Romania,Geography
Religion_in_the_United_States,Religion
Cancer,Science
Ancient_Rome,History
Cold_War,History
Space_Race,Technology
Australia_(continent),Geography
Google,Technology
Alcoholic_beverage,Culture
Italian_language,Culture
Literature,Culture
United_States_Congress,Social
Science_fiction,Culture
Periodic_table,Science
Denmark,Geography
Pop_music,Culture
British_Empire,History
Argentina,Geography
Anime,Culture
Maryland,Geography
Southeast_Asia,Geography
Popular_music,Culture
Indo_European_languages,Culture
Southern_United_States,Geography
Health_care,Social
Iran,Geography
Walt_Disney,Culture
Fox_Broadcasting_Company,Culture
Russian_Empire,History
New_York_metropolitan_area,Geography
The_Walt_Disney_Company,Culture
Virginia,Geography
Wales,Geography
Plant,Science
Pakistan,Geography
Midwestern_United_States,Geography
Economics,Social
Portugal,Geography
USA,Geography
Northern_America,Geography
Media_of_the_United_States,Culture
Judaism,Religion
Ohio,Geography
Manga,Culture
List_of_U.S._states,Culture
Astronomy,Science
Mediterranean_Sea,Geography
Roman_Catholic_Church,Religion
Chinese_language,Culture
NASA,Technology
Vietnam_War,History
Life,Science
United_States_Census_Bureau,Social
Silicon_Valley,Technology
Indonesia,Geography
Finland,Geography
American_Broadcasting_Company,Culture
Moon,Science
Hinduism,Religion
Hawaii,Geography
Middle_East,Geography
Computer_program,Technology
Anatomy,Science
Vietnam,Geography
Cuba,Geography
Seattle,Geography
William_Shakespeare,Culture
BBC,Culture
Christian,Religion
Buddhism,Religion
Greek_mythology,Culture
Western_Asia,Geography
Ukraine,Geography
George_W._Bush,History
Norway,Geography
Education_in_the_United_States,Social
United_States_Air_Force,Social
Brain,Science
United_States_dollar,Social
Lung_cancer,Science
Sport,Culture
American_Civil_War,History
New_Zealand,Geography
United_States_Senate,Social
Eastern_Europe,Geography
Southern_Europe,Geography
History_of_the_United_States,History
United_Kingdom_–_United_States_relations,Social
Music_of_the_United_Kingdom,Culture
Indian_Ocean,Geography
Planet,Science
Saudi_Arabia,Geography
Hollywood,Culture
Bible,Religion
Minnesota,Geography
North_Africa,Geography
Software,Technology
Water,Science
List_of_Presidents_of_the_United_States,History
Christianity_in_the_United_States,Religion
DNA,Science
Hong_Kong,Geography
American_rock,Culture
Punk_rock,Culture
Oxygen,Science
Isaac_Newton,Science
University,Social
Charles_Darwin,Science
Burbank_California,Geography
European_colonization_of_the_Americas,History
Northeastern_United_States,Geography
Alaska,Geography
Applied_science,Science
Mumbai,Geography
Academy_Award,Social
Caribbean,Geography
Public_education,Social
Blood,Science
Natural_sciences,Science
Mammals,Science
Automobile,Technology
Peru,Geography
Health,Science
Basketball,Culture
Detroit,Geography
American_English,Culture
United_Nations_Security_Council,Social
Philadelphia,Geography
Fauna_of_the_United_States,Science
Missouri,Geography
Agriculture,Technology
Television_program,Culture
Iraq,Geography
Czech_Republic,Unk
Genetics,Unk
Nintendo,Unk
Tennessee,Unk
Franklin_D._Roosevelt,Unk
Biochemistry,Unk
Computers,Unk
Indian_subcontinent,Unk
Transportation_in_the_United_States,Unk
Television_network,Unk
Video_game_console,Unk
Sony,Unk
Connecticut,Unk
Organ_(anatomy),Unk
Poland,Unk
Obesity,Unk
Fruit,Unk
Boston,Unk
Cell_(biology),Unk
Art,Unk
Regions_of_England,Unk
Sun,Unk
Engineering,Unk
Demonym,Unk
Berlin,Unk
New_England,Unk
National_Football_League,Unk
G_20_major_economies,Unk
Human_body,Unk
Carbon,Unk
Iraq_War,Unk
Caribbean_Sea,Unk
Species,Unk
Latin_language,Unk
North_Carolina,Unk
Ontario,Unk
Georgia_(U.S._state),Unk
Liverpool,Unk
Northern_Ireland,Unk
Tennis,Unk
Operating_system,Unk
Bill_Clinton,Unk
Jews,Unk
Ocean,Unk
English_people,Unk
Moscow,Unk
Mississippi,Unk
Los_Angeles_County_California,Unk
Animation,Unk
Academy_Awards,Unk
Education,Unk
Arabic_language,Unk
Vatican_City,Unk
Drug_policy_of_the_United_States,Unk
Wine,Unk
Baseball,Unk
Ancient_Egypt,Unk
Greeks,Unk
New_Mexico,Unk
Major_depressive_disorder,Unk
Jazz,Unk
Evolution,Unk
Ronald_Reagan,Unk
Cambodia,Unk
Infectious_disease,Unk
University_of_Oxford,Unk
Olympic_Games,Unk
Pregnancy,Unk
Taiwan,Unk
Music_genre,Unk
Human_anatomy,Unk
Quebec,Unk
Manhattan,Unk
Beer,Unk
Armenia,Unk
Global_warming,Unk
Electronics,Unk
Electricity,Unk
Sydney,Unk
Ethanol,Unk
Fish,Unk
Singapore,Unk
Ford_Motor_Company,Unk
Northern_Europe,Unk
Law,Unk
Indiana,Unk
Nuclear_weapon,Unk
Mental_disorder,Unk
Technology,Unk
Colorado,Unk
Kentucky,Unk
Heart,Unk
Harvard_University,Unk
September_11_attacks,Unk
Western_United_States,Unk
Thailand,Unk
San_Diego,Unk
Roman_Catholic,Unk
British_rock,Unk
Las_Vegas,Unk
Linux,Unk
YouTube,Unk
Republic_of_China,Unk
North_Korea,Unk
Food,Unk
Government,Unk
Programming_language,Unk
Bangladesh,Unk
Computer_software,Unk
List_of_Nobel_laureates_in_Physiology_or_Medicine,Unk
List_of_United_States_cities_by_population,Unk
Atom,Unk
Redmond_Washington,Unk
Chile,Unk
Native_Americans_in_the_United_States,Unk
Elizabeth_II,Unk
Hungary,Unk
West_Coast_of_the_United_States,Unk
Azerbaijan,Unk
Sound,Unk
Malaysia,Unk
New_York_(state),Unk
Oceania,Unk
California_Gold_Rush,Unk
Sovereign_state,Unk
Drug,Unk
Alternative_rock,Unk
Arizona,Unk
Southeastern_United_States,Unk
Federal_drug_policy_of_the_United_States,Unk
Japanese_people,Unk
War,Unk
Germans,Unk
Bulgaria,Unk
Politics_of_the_United_States,Unk
Computing,Unk
Colombia,Unk
Disney_Channel,Unk
German_Empire,Unk
Culture,Unk
Jamaica,Unk
Superman,Unk
Sri_Lanka,Unk
American_Revolutionary_War,Unk
Classical_music,Unk
Email,Unk
Linguistics,Unk
Technological_and_industrial_history_of_the_United_States,Unk
Washington,Unk
Outer_space,Unk
Attack_on_Pearl_Harbor,Unk
Nirvana_(band),Unk
Britney_Spears,Unk
Southern_California,Unk
List_of_regions_of_the_United_States,Unk
Nigeria,Unk
Great_Depression,Unk
Protein,Unk
Game,Unk
Western_culture,Unk
Aristotle,Unk
Afghanistan,Unk
San_Francisco_Bay_Area,Unk
Human_brain,Unk
Communication,Unk
Military,Unk
Christmas,Unk
Bacteria,Unk
Comic_book,Unk
France–United_States_relations,Unk
Puerto_Rico,Unk
Energy,Unk
Team_sport,Unk
CBS,Unk
U.S.,Unk
Public_health,Unk
National_Basketball_Association,Unk
Toronto,Unk
Nepal,Unk
American_Revolution,Unk
Mexico_City,Unk
Adolf_Hitler,Unk
Crime_in_the_United_States,Unk
Supreme_Court_of_the_United_States,Unk
Middle_Ages,Unk
George_Washington,Unk
Hydrogen,Unk
Muslim,Unk
Korean_War,Unk
Gold,Unk
Boxing,Unk
Abraham_Lincoln,Unk
Computer_programming,Unk
India–United_States_relations,Unk
Hebrew_language,Unk
Facebook,Unk
MTV,Unk
Chemical_compound,Unk
Roman_Republic,Unk
Saturday_Night_Live,Unk
Major_League_Baseball,Unk
British_Columbia,Unk
Memphis_Tennessee,Unk
United_Arab_Emirates,Unk
Columbia_University,Unk
Capitalism,Unk
Melbourne,Unk
Agriculture_in_the_United_States,Unk
Manchester,Unk
Iceland,Unk
Led_Zeppelin,Unk
Richard_Nixon,Unk
Johnny_Cash,Unk
White_House,Unk
Psychoactive_drug,Unk
Renaissance,Unk
Brooklyn,Unk
Kingdom_(biology),Unk
Xbox_360,Unk
Light,Unk
Sub_Saharan_Africa,Unk
Tobacco_smoking,Unk
Comedy,Unk
Higher_education,Unk
Alcohol,Unk
United_States_Department_of_State,Unk
Central_Intelligence_Agency,Unk
Shanghai,Unk
Cannabis_(drug),Unk
Information,Unk
Death,Unk
Actor,Unk
Petroleum,Unk
Morocco,Unk
Utah,Unk
Martin_Luther_King_Jr.,Unk
Oregon,Unk
Taxonomy_(biology),Unk
Mobile_phone,Unk
Alabama,Unk
Antarctica,Unk
G8,Unk
New_Testament,Unk
Steven_Spielberg,Unk
Star,Unk
Knowledge,Unk
The_Rolling_Stones,Unk
Life_expectancy,Unk
Marriage,Unk
British_Raj,Unk
Mass_media,Unk
Warner_Bros.,Unk
Newspaper,Unk
West_Africa,Unk
Novel,Unk
Algeria,Unk
Plato,Unk
Ice_hockey,Unk
Aircraft,Unk
Hypertension,Unk
Professional_wrestling,Unk
Cocaine,Unk
DVD,Unk
Latin_America,Unk
Telephone,Unk
Church_of_England,Unk
Color,Unk
Comics,Unk
Sociology,Unk
Toyota,Unk
Dublin,Unk
Houston,Unk
Ethiopia,Unk
God,Unk
American_Airlines,Unk
Lebanon,Unk
Michael_Jackson,Unk
Serbia,Unk
Currency,Unk
Allies_of_World_War_II,Unk
Northern_Hemisphere,Unk
Heroin,Unk
Syria,Unk
Nebraska,Unk
Radio,Unk
The_New_York_Times,Unk
Batman,Unk
Bollywood,Unk
Web_browser,Unk
United_States_Marine_Corps,Unk
Atomic_bombings_of_Hiroshima_and_Nagasaki,Unk
Physiology,Unk
Number,Unk
Geography,Unk
Universe,Unk
Sugar,Unk
Oklahoma,Unk
Prohibition_in_the_United_States,Unk
Dog,Unk
Opium,Unk
Miami,Unk
The_Simpsons,Unk
Milk,Unk
Zimbabwe,Unk
List_of_country_calling_codes,Unk
Pharmaceutical_drug,Unk
Flowering_plant,Unk
IBM,Unk
Tobacco,Unk
Gene,Unk
Metallica,Unk
Democratic_Party_(United_States),Unk
Delhi,Unk
New_Orleans,Unk
Pope,Unk
Central_Asia,Unk
Nobel_Prize,Unk
French_Revolution,Unk
Star_Wars,Unk
Chicago_Illinois,Unk
Genre,Unk
Democratic_Republic_of_the_Congo,Unk
Greater_London,Unk
Chemical_substance,Unk
Henry_Ford,Unk
Royal_Navy,Unk
Matter,Unk
Kenya,Unk
Bird,Unk
Economy,Unk
Gaza_Strip,Unk
Telecommunication,Unk
Islam_in_the_United_States,Unk
Jerusalem,Unk
Film_genre,Unk
Organic_chemistry,Unk
World_population,Unk
Metal,Unk
United_States_House_of_Representatives,Unk
Beijing,Unk
Southeast_Europe,Unk
AIDS,Unk
Photography,Unk
Stanford_University,Unk
Carbon_dioxide,Unk
Arnold_Schwarzenegger,Unk
Language_family,Unk
Thomas_Edison,Unk
Grammy_Award,Unk
Asian_American,Unk
Jew,Unk
Athens,Unk
Kansas,Unk
Social_science,Unk
Kingdom_of_France,Unk
Greater_Los_Angeles_Area,Unk
High_school,Unk
Nervous_system,Unk
Arctic_Ocean,Unk
Human_rights,Unk
Scandinavia,Unk
Bald_eagle,Unk
Country,Unk
Book,Unk
Apollo_program,Unk
Republican_Party_(United_States),Unk
History_of_Greece,Unk
San_Francisco_California,Unk
Golf,Unk
Malaria,Unk
Dutch_language,Unk
Zoology,Unk
North_West_England,Unk
Gulf_War,Unk
Ecology,Unk
Vienna,Unk
Christopher_Columbus,Unk
Capital_punishment,Unk
Holy_Roman_Empire,Unk
Environment_of_the_United_States,Unk
Suicide,Unk
Istanbul,Unk
Business,Unk
Louisiana_Purchase,Unk
Greenland,Unk
Old_Testament,Unk
Air_pollution,Unk
Orange_County_California,Unk
War_on_Terror,Unk
Catholic_Church_in_the_United_States,Unk
List_of_countries_and_dependencies_by_area,Unk
Instant_messaging,Unk
Apple_pie,Unk
George_H._W._Bush,Unk
Cyprus,Unk
Computer_hardware,Unk
Japanese_cuisine,Unk
Medication,Unk
Murder,Unk
Macintosh,Unk
Money,Unk
Fiction,Unk
Prime_Minister_of_the_United_Kingdom,Unk
Croatia,Unk
Cable_television,Unk
The_Holocaust,Unk
Physician,Unk
Coffee,Unk
Vice_President_of_the_United_States,Unk
Football,Unk
University_of_Cambridge,Unk
John_Lennon,Unk
WWE,Unk
Special:SiteMatrix,Unk
Ivy_League,Unk
Humans,Unk
Fast_food,Unk
Alexander_the_Great,Unk
National_Hockey_League,Unk
Protestantism,Unk
Clint_Eastwood,Unk
Winston_Churchill,Unk
British_literature,Unk
Hard_rock,Unk
E_mail,Unk
Maine,Unk
Western_world,Unk
Galileo_Galilei,Unk
Video,Unk
Dallas,Unk
Nobel_Prize_in_Chemistry,Unk
Comic_strip,Unk
Armed_forces,Unk
Stockholm,Unk
Catholicism,Unk
State_(polity),Unk
Portuguese_language,Unk
Karl_Marx,Unk
